UniprotID	ID	lineage	domain	phylum	class	order	family	genus	species
A0A4U1BEE9	UNIPROT:A0A4U1BEE9_9GAMM	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Alteromonadales;f__Ferrimonadaceae;g__Ferrimonas;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Alteromonadales	f__Ferrimonadaceae	g__Ferrimonas	s__
A0A4U1BNR8	UNIPROT:A0A4U1BNR8_9GAMM	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Alteromonadales;f__Ferrimonadaceae;g__Ferrimonas;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Alteromonadales	f__Ferrimonadaceae	g__Ferrimonas	s__
A0A562HMA8	UNIPROT:A0A562HMA8_9FIRM	d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Desulfitobacteriaceae;g__Desulfitobacterium;s__	d__Bacteria	p__Bacillota	c__Clostridia	o__Eubacteriales	f__Desulfitobacteriaceae	g__Desulfitobacterium	s__
A4YC49	UNIPROT:A4YC49_SHEPC	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Alteromonadales;f__Shewanellaceae;g__Shewanella;s__Shewanellaputrefaciens	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Alteromonadales	f__Shewanellaceae	g__Shewanella	s__Shewanellaputrefaciens
B8CM08	UNIPROT:B8CM08_SHEPW	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Alteromonadales;f__Shewanellaceae;g__Shewanella;s__Shewanellapiezotolerans	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Alteromonadales	f__Shewanellaceae	g__Shewanella	s__Shewanellapiezotolerans
B8G170	UNIPROT:B8G170_DESHD	d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Desulfitobacteriaceae;g__Desulfitobacterium;s__Desulfitobacteriumhafniense	d__Bacteria	p__Bacillota	c__Clostridia	o__Eubacteriales	f__Desulfitobacteriaceae	g__Desulfitobacterium	s__Desulfitobacteriumhafniense
A0A2P0QJI7	UNIPROT:A0A2P0QJI7_9PROT	d__Bacteria;p__Pseudomonadota;c__;o__;f__;g__;s__	d__Bacteria	p__Pseudomonadota	c__	o__	f__	g__	s__
Q24PX2	UNIPROT:Q24PX2_DESHY	d__Bacteria;p__Bacillota;c__Clostridia;o__Eubacteriales;f__Desulfitobacteriaceae;g__Desulfitobacterium;s__Desulfitobacteriumhafniense	d__Bacteria	p__Bacillota	c__Clostridia	o__Eubacteriales	f__Desulfitobacteriaceae	g__Desulfitobacterium	s__Desulfitobacteriumhafniense
A0A349EMF2	UNIPROT:A0A349EMF2_9BACT	d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__;s__	d__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__Nitrospiraceae	g__	s__
A0A351WYL6	UNIPROT:A0A351WYL6_9DELT	d__Bacteria;p__Thermodesulfobacteriota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Geobacter;s__	d__Bacteria	p__Thermodesulfobacteriota	c__Desulfuromonadia	o__Geobacterales	f__Geobacteraceae	g__Geobacter	s__
A0A7V7MPK8	UNIPROT:A0A7V7MPK8_UNCPL	d__Bacteria;p__Planctomycetota;c__;o__;f__;g__;s__	d__Bacteria	p__Planctomycetota	c__	o__	f__	g__	s__
A0A2N2KFG5	UNIPROT:A0A2N2KFG5_9DELT	d__Bacteria;p__;c__Deltaproteobacteria;o__;f__;g__;s__	d__Bacteria	p__	c__Deltaproteobacteria	o__	f__	g__	s__
A0A2N2H6S3	UNIPROT:A0A2N2H6S3_9DELT	d__Bacteria;p__;c__Deltaproteobacteria;o__;f__;g__;s__	d__Bacteria	p__	c__Deltaproteobacteria	o__	f__	g__	s__
A0A1G5ESE9	UNIPROT:A0A1G5ESE9_9DELT	d__Bacteria;p__Thermodesulfobacteriota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfolunaceae;g__Desulfoluna;s__	d__Bacteria	p__Thermodesulfobacteriota	c__Desulfobacteria	o__Desulfobacterales	f__Desulfolunaceae	g__Desulfoluna	s__
A0A3C0TNE6	UNIPROT:A0A3C0TNE6_9BACT	d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__;s__	d__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__Nitrospiraceae	g__	s__
A0A1V1WU22	UNIPROT:A0A1V1WU22_9DELT	d__Bacteria;p__Thermodesulfobacteriota;c__Desulfobacteria;o__Desulfobacterales;f__;g__;s__	d__Bacteria	p__Thermodesulfobacteriota	c__Desulfobacteria	o__Desulfobacterales	f__	g__	s__
A0A7C1S651	UNIPROT:A0A7C1S651_9BACT	d__Bacteria;p__CandidatusOmnitrophota;c__;o__;f__;g__;s__	d__Bacteria	p__CandidatusOmnitrophota	c__	o__	f__	g__	s__
A0A5Q4FIM3	UNIPROT:A0A5Q4FIM3_9BACT	d__Bacteria;p__Balneolota;c__Balneolia;o__Balneolales;f__Balneolaceae;g__;s__	d__Bacteria	p__Balneolota	c__Balneolia	o__Balneolales	f__Balneolaceae	g__	s__
A0A1G1GBG2	UNIPROT:A0A1G1GBG2_9BACT	d__Bacteria;p__Nitrospirota;c__;o__;f__;g__;s__	d__Bacteria	p__Nitrospirota	c__	o__	f__	g__	s__
A0A419IX08	UNIPROT:A0A419IX08_9BACT	d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae;g__;s__	d__Bacteria	p__Nitrospirota	c__Nitrospiria	o__Nitrospirales	f__Nitrospiraceae	g__	s__
A0A7I8ML81	UNIPROT:A0A7I8ML81_9DELT	d__Bacteria;p__;c__Deltaproteobacteria;o__;f__;g__;s__	d__Bacteria	p__	c__Deltaproteobacteria	o__	f__	g__	s__
A0A1G0LH22	UNIPROT:A0A1G0LH22_9DELT	d__Bacteria;p__Thermodesulfobacteriota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__;s__	d__Bacteria	p__Thermodesulfobacteriota	c__Desulfuromonadia	o__Geobacterales	f__Geobacteraceae	g__	s__
A0A3D6BWS9	UNIPROT:A0A3D6BWS9_9DELT	d__Bacteria;p__Thermodesulfobacteriota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__;s__	d__Bacteria	p__Thermodesulfobacteriota	c__Desulfobacteria	o__Desulfobacterales	f__Desulfobacteraceae	g__	s__
A0A1W9M943	UNIPROT:A0A1W9M943_9DELT	d__Bacteria;p__Thermodesulfobacteriota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__;s__	d__Bacteria	p__Thermodesulfobacteriota	c__Desulfobulbia	o__Desulfobulbales	f__Desulfobulbaceae	g__	s__
A0A7C0WLQ7	UNIPROT:A0A7C0WLQ7_UNCNT	d__Bacteria;p__Nitrospirota;c__;o__;f__;g__;s__	d__Bacteria	p__Nitrospirota	c__	o__	f__	g__	s__
A0A1F9M8Z3	UNIPROT:A0A1F9M8Z3_9DELT	d__Bacteria;p__;c__Deltaproteobacteria;o__;f__;g__;s__	d__Bacteria	p__	c__Deltaproteobacteria	o__	f__	g__	s__
A0A7W0C9Y8	UNIPROT:A0A7W0C9Y8_9DELT	d__Bacteria;p__Thermodesulfobacteriota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfosalsimonadaceae;g__Desulfosalsimonas;s__	d__Bacteria	p__Thermodesulfobacteriota	c__Desulfobacteria	o__Desulfobacterales	f__Desulfosalsimonadaceae	g__Desulfosalsimonas	s__
A0A1G0N3D3	UNIPROT:A0A1G0N3D3_9DELT	d__Bacteria;p__Thermodesulfobacteriota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__;s__	d__Bacteria	p__Thermodesulfobacteriota	c__Desulfuromonadia	o__Geobacterales	f__Geobacteraceae	g__	s__
A0A0Q0KTP6	UNIPROT:A0A0Q0KTP6_9GAMM	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Alteromonadales;f__Shewanellaceae;g__Shewanella;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Alteromonadales	f__Shewanellaceae	g__Shewanella	s__
A0A7G1H1U7	UNIPROT:A0A7G1H1U7_9BACT	d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__Dissulfurispiraceae;g__Dissulfurispira;s__	d__Bacteria	p__Nitrospirota	c__Thermodesulfovibrionia	o__Thermodesulfovibrionales	f__Dissulfurispiraceae	g__Dissulfurispira	s__
A0A1F4JEI1	UNIPROT:A0A1F4JEI1_9BURK	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__;g__;s__	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__	g__	s__
A0A6I1KFG0	UNIPROT:A0A6I1KFG0_9DELT	d__Bacteria;p__Thermodesulfobacteriota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__;s__	d__Bacteria	p__Thermodesulfobacteriota	c__Desulfuromonadia	o__Geobacterales	f__Geobacteraceae	g__	s__
A0A7C8AZJ9	UNIPROT:A0A7C8AZJ9_UNCDE	d__Bacteria;p__;c__Deltaproteobacteria;o__;f__;g__;s__	d__Bacteria	p__	c__Deltaproteobacteria	o__	f__	g__	s__
A0A651FSG7	UNIPROT:A0A651FSG7_9DELT	d__Bacteria;p__Thermodesulfobacteriota;c__Desulfovibrionia;o__Desulfovibrionales;f__;g__;s__	d__Bacteria	p__Thermodesulfobacteriota	c__Desulfovibrionia	o__Desulfovibrionales	f__	g__	s__
A0A1G0MA33	UNIPROT:A0A1G0MA33_9DELT	d__Bacteria;p__Thermodesulfobacteriota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__;s__	d__Bacteria	p__Thermodesulfobacteriota	c__Desulfuromonadia	o__Geobacterales	f__Geobacteraceae	g__	s__
A0A6H1UH70	UNIPROT:A0A6H1UH70_9GAMM	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Alteromonadales;f__Ferrimonadaceae;g__Ferrimonas;s__	d__Bacteria	p__Pseudomonadota	c__Gammaproteobacteria	o__Alteromonadales	f__Ferrimonadaceae	g__Ferrimonas	s__
A0A3A4NQG4	UNIPROT:A0A3A4NQG4_UNCDE	d__Bacteria;p__;c__Deltaproteobacteria;o__;f__;g__;s__	d__Bacteria	p__	c__Deltaproteobacteria	o__	f__	g__	s__
A0A1G6E7S7	UNIPROT:A0A1G6E7S7_9DELT	d__Bacteria;p__Thermodesulfobacteriota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfonatronaceae;g__Desulfonatronum;s__	d__Bacteria	p__Thermodesulfobacteriota	c__Desulfovibrionia	o__Desulfovibrionales	f__Desulfonatronaceae	g__Desulfonatronum	s__
A0A4U0ZYV7	UNIPROT:A0A4U0ZYV7_9DELT	d__Bacteria;p__Thermodesulfobacteriota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__Desulforhopalus;s__	d__Bacteria	p__Thermodesulfobacteriota	c__Desulfobulbia	o__Desulfobulbales	f__Desulfocapsaceae	g__Desulforhopalus	s__
A0A8J7RP07	UNIPROT:A0A8J7RP07_9BACT	d__Bacteria;p__Balneolota;c__Balneolia;o__Balneolales;f__Cyclonatronaceae;g__Natronogracilivirga;s__	d__Bacteria	p__Balneolota	c__Balneolia	o__Balneolales	f__Cyclonatronaceae	g__Natronogracilivirga	s__
A0A1V6FRG4	UNIPROT:A0A1V6FRG4_9PROT	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__;f__;g__;s__	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__	f__	g__	s__
A0A1F3YHN7	UNIPROT:A0A1F3YHN7_9PROT	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__;f__;g__;s__	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__	f__	g__	s__
A0A7X6I8F9	UNIPROT:A0A7X6I8F9_9BURK	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Ramlibacter;s__	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__Comamonadaceae	g__Ramlibacter	s__
A0A2N6AS19	UNIPROT:A0A2N6AS19_9HYPH	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__;g__;s__	d__Bacteria	p__Pseudomonadota	c__Alphaproteobacteria	o__Hyphomicrobiales	f__	g__	s__
A0A842XX73	UNIPROT:A0A842XX73_9EURY	d__Archaea;p__Euryarchaeota;c__Methanomicrobia;o__Methanosarcinales;f__CandidatusMethanoperedenaceae;g__;s__	d__Archaea	p__Euryarchaeota	c__Methanomicrobia	o__Methanosarcinales	f__CandidatusMethanoperedenaceae	g__	s__
A0A1F4MH05	UNIPROT:A0A1F4MH05_9BURK	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__;g__;s__	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__Burkholderiales	f__	g__	s__
A0A1F4E3P6	UNIPROT:A0A1F4E3P6_9PROT	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__;f__;g__;s__	d__Bacteria	p__Pseudomonadota	c__Betaproteobacteria	o__	f__	g__	s__
